"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"134"	0.2	0.1	100	20	1	2	1	0.216	0.197556303553526	0.166339458287857	-0.00244369644647374	-0.0122184822323687	0.0391533398364764	0.0256290491459423
"170"	0.2	0.1	100	20	2	2	1	0.233	0.182558615247383	0.149835171126741	-0.0174413847526167	-0.0872069237630833	0.0321574781864057	0.0213776503653536
"206"	0.2	0.1	100	20	3	2	1	0.221	0.162612074989002	0.13455019404229	-0.0373879250109982	-0.186939625054991	0.00588415562109241	0.0192904268225174
"14"	0.2	0.1	200	10	1	1	1	0.316	0.203314748329198	0.133120335282713	0.00331474832919793	0.0165737416459896	0.0303349457919308	0.0167038934691358
"50"	0.2	0.1	200	10	2	1	1	0.349	0.185400198721333	0.120530444295389	-0.0145998012786668	-0.0729990063933342	-0.00367180188054038	0.0148480175276999
"86"	0.2	0.1	200	10	3	1	1	0.288	0.158660967518013	0.107744579460487	-0.0413390324819868	-0.206695162409934	0.0330817686809418	0.0125862246051781
"122"	0.2	0.1	200	10	1	2	1	0.34	0.199438995447084	0.133397407441892	-0.000561004552915717	-0.00280502276457859	-0.0116716052521747	0.0182179596347006
"158"	0.2	0.1	200	10	2	2	1	0.313	0.177466041127703	0.121161726437855	-0.0225339588722966	-0.112669794361483	-0.0108007019956643	0.0155102679563804
"194"	0.2	0.1	200	10	3	2	1	0.305	0.157246122820725	0.108181303755736	-0.0427538771792751	-0.213769385896376	0.0218065669832675	0.0130368985045237
"32"	0.2	0.1	200	20	1	1	1	0.385	0.194431573559614	0.1179169533508	-0.00556842644038616	-0.0278421322019308	-0.00437763145561039	0.0140579560766634
"68"	0.2	0.1	200	20	2	1	1	0.385	0.184171192820726	0.106394680623765	-0.0158288071792741	-0.0791440358963706	0.0115382253608514	0.0113136102315316
"104"	0.2	0.1	200	20	3	1	1	0.377	0.158317576586173	0.0944531045001308	-0.0416824234138272	-0.208412117069136	0.0267041166874894	0.0102007659591949
"140"	0.2	0.1	200	20	1	2	1	0.365	0.196150238427789	0.117921533545477	-0.0038497615722109	-0.0192488078610545	-0.00336529253123443	0.0140143753840885
"176"	0.2	0.1	200	20	2	2	1	0.418	0.184687311807565	0.106306789624842	-0.0153126881924353	-0.0765634409621764	0.029772190806962	0.0108915942765291
"212"	0.2	0.1	200	20	3	2	1	0.415	0.161171199534342	0.0948875614193218	-0.0388288004656584	-0.194144002328292	-0.00263721262055001	0.010559002653831
"5"	0.2	0.25	50	10	1	1	0.999	0.116	0.209210662588937	0.256863316997519	0.00921066258893746	0.0460533129446873	0.0105416289117214	0.0646942433565168
"41"	0.2	0.25	50	10	2	1	1	0.102	0.173285356428887	0.232932393222759	-0.0267146435711133	-0.133573217855567	-0.0297682159913342	0.0583516562004252
"77"	0.2	0.25	50	10	3	1	1	0.121	0.155425353969927	0.207211462693495	-0.0445746460300729	-0.222873230150364	-0.0110026269879197	0.0458841452881003
"113"	0.2	0.25	50	10	1	2	0.999	0.123	0.209776314275287	0.255678113915297	0.00977631427528691	0.0488815713764346	-0.0111663283881358	0.0669516110623707
"149"	0.2	0.25	50	10	2	2	1	0.106	0.176283123220865	0.234792557037579	-0.0237168767791352	-0.118584383895676	0.00387844203564388	0.0552648920445854
"185"	0.2	0.25	50	10	3	2	1	0.099	0.162832965605283	0.20775833853346	-0.0371670343947173	-0.185835171973587	0.0240364507041767	0.0425424053511842
"23"	0.2	0.25	50	20	1	1	1	0.153	0.204589234367765	0.229777766640922	0.00458923436776526	0.0229461718388263	-0.0166466644150923	0.0546215859125329
"59"	0.2	0.25	50	20	2	1	1	0.133	0.177649656381733	0.205896223598181	-0.0223503436182674	-0.111751718091337	0.00134592959303727	0.0427789060559921
"95"	0.2	0.25	50	20	3	1	1	0.126	0.155910417138038	0.185622064505703	-0.0440895828619621	-0.220447914309811	0.00565814486182068	0.0360128176046965
"131"	0.2	0.25	50	20	1	2	1	0.127	0.186938185477733	0.22956015291705	-0.0130618145222675	-0.0653090726113373	0.00598311284541108	0.052243494839191
"167"	0.2	0.25	50	20	2	2	1	0.163	0.193325655781215	0.206708976140504	-0.00667434421878463	-0.0333717210939231	-0.0409468491876365	0.0464996382583596
"203"	0.2	0.25	50	20	3	2	1	0.132	0.158935099758609	0.184924139175743	-0.0410649002413906	-0.205324501206953	-0.00946420575129059	0.0365398635085601
"11"	0.2	0.25	100	10	1	1	1	0.177	0.194239911931874	0.182008195240944	-0.00576008806812645	-0.0288004403406322	0.0406696806800868	0.0306215308755236
"47"	0.2	0.25	100	10	2	1	1	0.197	0.178333177567296	0.163499337287841	-0.0216668224327037	-0.108334112163519	-0.0245623227136465	0.0285647037245264
"83"	0.2	0.25	100	10	3	1	1	0.168	0.153364086940437	0.146784840637382	-0.0466359130595634	-0.233179565297817	0.023478706063131	0.0227435110413583
"119"	0.2	0.25	100	10	1	2	1	0.185	0.193409129672807	0.182150125396976	-0.00659087032719319	-0.0329543516359659	0.00789965436061552	0.0327040544457676
"155"	0.2	0.25	100	10	2	2	1	0.174	0.180045888607473	0.164743723484932	-0.0199541113925269	-0.0997705569626346	0.0611458044995226	0.024500974073608
"191"	0.2	0.25	100	10	3	2	1	0.192	0.161554280113325	0.147523716286878	-0.0384457198866746	-0.192228599433373	0.00535054875833299	0.0230102855107305
"29"	0.2	0.25	100	20	1	1	1	0.238	0.202754910862356	0.162242352821432	0.00275491086235585	0.0137745543117793	-0.000195215441187051	0.0263404507416094
"65"	0.2	0.25	100	20	2	1	1	0.21	0.177299691735149	0.146848150723174	-0.0227003082648514	-0.113501541324257	-0.00348215251047847	0.0222306523688614
"101"	0.2	0.25	100	20	3	1	1	0.232	0.164480308280245	0.130702474093638	-0.0355196917197546	-0.177598458598773	0.0421116041398649	0.0169920262977829
"137"	0.2	0.25	100	20	1	2	1	0.213	0.191757005375156	0.16275544082292	-0.00824299462484432	-0.0412149731242216	0.0254505413913565	0.0252587257373832
"173"	0.2	0.25	100	20	2	2	1	0.221	0.178787421216911	0.14710003664404	-0.0212125787830893	-0.106062893915446	-0.0138297127136954	0.0226995492865173
"209"	0.2	0.25	100	20	3	2	1	0.214	0.154405163387895	0.131632516141519	-0.0455948366121046	-0.227974183060523	-0.012252767787345	0.0198385522233906
"17"	0.2	0.25	200	10	1	1	1	0.366	0.209127382943125	0.128804974707757	0.00912738294312457	0.0456369147156228	0.019586683347222	0.0160427239777572
"53"	0.2	0.25	200	10	2	1	1	0.361	0.182540587959893	0.116176053244047	-0.0174594120401066	-0.087297060200533	0.00782865744283373	0.0135928375212117
"89"	0.2	0.25	200	10	3	1	1	0.335	0.161325353430775	0.103912113151749	-0.0386746465692252	-0.193373232846126	0.0105267419901283	0.0120696656047133
