"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"198"	0.4	0.25	200	10	3	2	1	0.855	0.396619	0.129254	-0.00338100000000002	-0.00845250000000006	-0.0341574207785697	0.017920594163002
"36"	0.4	0.25	200	20	1	1	1	0.943	0.397669	0.114201	-0.00233100000000003	-0.00582750000000007	-0.0262329879953856	0.0137594550214605
"72"	0.4	0.25	200	20	2	1	1	0.945	0.39985	0.114935	-0.000150000000000039	-0.000375000000000097	-0.00636373036267532	0.0133798258033033
"108"	0.4	0.25	200	20	3	1	1	0.944	0.407559	0.115014	0.00755899999999998	0.0188975	-0.0254673471668947	0.0139857756371562
"144"	0.4	0.25	200	20	1	2	1	0.943	0.401772	0.114827	0.001772	0.00442999999999999	-0.00647857592543875	0.0133608977577738
"180"	0.4	0.25	200	20	2	2	1	0.937	0.40334	0.114943	0.00333999999999995	0.00834999999999989	-0.00791177800185663	0.0134346154598599
"216"	0.4	0.25	200	20	3	2	1	0.944	0.403877	0.115138	0.00387699999999996	0.00969249999999991	0.0191469238915615	0.0127783543231942
"2"	0.2	0.1	50	10	1	1	0.928	0.121	0.205582	0.26572	0.00558199999999998	0.0279099999999999	-0.0186735516086515	0.0733509938351111
"38"	0.2	0.1	50	10	2	1	0.901	0.125	0.20219	0.266655	0.00219	0.01095	-0.0185218971502976	0.0738187099138138
"74"	0.2	0.1	50	10	3	1	0.899	0.111	0.199924	0.267517	-7.60000000000205e-05	-0.000380000000000102	0.00277960351631802	0.0711691571513754
"110"	0.2	0.1	50	10	1	2	0.923	0.108	0.193918	0.266286	-0.006082	-0.03041	0.0266388004225833	0.0673131701794554
"146"	0.2	0.1	50	10	2	2	0.895	0.144	0.206781	0.26551	0.00678099999999998	0.0339049999999999	-0.0516424039987117	0.0784281932112503
"182"	0.2	0.1	50	10	3	2	0.856	0.124	0.202068	0.267039	0.00206799999999999	0.0103399999999999	-0.0236644873838649	0.0748128225459219
"20"	0.2	0.1	50	20	1	1	0.945	0.146	0.205527	0.229936	0.005527	0.027635	-0.0414582897644457	0.0575734699221932
"56"	0.2	0.1	50	20	2	1	0.931	0.146	0.204429	0.231801	0.00442899999999999	0.0221449999999999	-0.0053379964842658	0.0543295849689279
"92"	0.2	0.1	50	20	3	1	0.917	0.142	0.196125	0.232662	-0.00387500000000002	-0.0193750000000001	-0.00982774904333791	0.0552264984828579
"128"	0.2	0.1	50	20	1	2	0.963	0.14	0.195993	0.230535	-0.00400700000000001	-0.0200350000000001	-0.0179588036593172	0.0551240149589099
"164"	0.2	0.1	50	20	2	2	0.937	0.173	0.209996	0.230578	0.00999599999999998	0.0499799999999999	-0.0606314810649645	0.0603508469269109
"200"	0.2	0.1	50	20	3	2	0.932	0.143	0.204034	0.233412	0.00403399999999998	0.0201699999999999	-0.0273274315513422	0.0576017574843283
"8"	0.2	0.1	100	10	1	1	0.956	0.185	0.185954	0.187821	-0.014046	-0.07023	-0.00698248149854452	0.0359718645744585
"44"	0.2	0.1	100	10	2	1	0.953	0.187	0.204513	0.188219	0.00451299999999999	0.0225649999999999	0.00313020157599999	0.0352260126454765
"80"	0.2	0.1	100	10	3	1	0.931	0.199	0.206417	0.189631	0.00641699999999998	0.0320849999999999	-1.72981213948846e-05	0.0360023381602713
"116"	0.2	0.1	100	10	1	2	0.952	0.187	0.198643	0.187989	-0.001357	-0.00678499999999999	-0.0155314734256971	0.0364655807392903
"152"	0.2	0.1	100	10	2	2	0.94	0.192	0.203412	0.188322	0.003412	0.01706	0.0285566668624551	0.0335348572154715
"188"	0.2	0.1	100	10	3	2	0.931	0.182	0.199634	0.189517	-0.000366000000000005	-0.00183000000000003	0.0273355535440102	0.0340308987648088
"26"	0.2	0.1	100	20	1	1	0.993	0.233	0.201495	0.16463	0.001495	0.00747499999999998	-0.021858992650637	0.0283301769419169
"62"	0.2	0.1	100	20	2	1	0.987	0.223	0.195961	0.164892	-0.00403900000000001	-0.0201950000000001	-0.0198843119949418	0.0283200967832623
"98"	0.2	0.1	100	20	3	1	0.978	0.207	0.193944	0.165458	-0.00605600000000001	-0.03028	-0.00892347169317195	0.0279082275524164
"134"	0.2	0.1	100	20	1	2	0.991	0.225	0.197403	0.164533	-0.00259700000000002	-0.0129850000000001	0.0291956225247803	0.0255637620176086
"170"	0.2	0.1	100	20	2	2	0.985	0.245	0.203091	0.164542	0.00309099999999998	0.0154549999999999	0.024086444069922	0.0258250404862052
"206"	0.2	0.1	100	20	3	2	0.976	0.228	0.203058	0.165989	0.00305799999999998	0.0152899999999999	-0.00193113377402269	0.0276684230717077
"14"	0.2	0.1	200	10	1	1	0.985	0.324	0.203264	0.13247	0.00326399999999999	0.0163199999999999	0.0259869357378431	0.0166812606069109
"50"	0.2	0.1	200	10	2	1	0.981	0.354	0.206127	0.133395	0.00612699999999999	0.030635	-0.00870984517506309	0.0181458332931642
"86"	0.2	0.1	200	10	3	1	0.965	0.294	0.198402	0.134017	-0.00159800000000002	-0.00799000000000008	0.0294849468264165	0.0169490444908869
"122"	0.2	0.1	200	10	1	2	0.982	0.345	0.199766	0.132513	-0.000234000000000012	-0.00117000000000006	-0.0155089104112417	0.0181173512965405
"158"	0.2	0.1	200	10	2	2	0.974	0.328	0.196895	0.133478	-0.003105	-0.015525	-0.0144670913191103	0.0183529262852603
"194"	0.2	0.1	200	10	3	2	0.972	0.309	0.197098	0.134008	-0.00290200000000002	-0.0145100000000001	0.0174432005846237	0.0173560896680641
"32"	0.2	0.1	200	20	1	1	1	0.392	0.194406	0.117322	-0.00559400000000002	-0.0279700000000001	-0.00946261845933428	0.0140599846918559
"68"	0.2	0.1	200	20	2	1	0.998	0.39	0.204581	0.117652	0.004581	0.022905	0.00833584192065137	0.0136350630775165
"104"	0.2	0.1	200	20	3	1	0.999	0.382	0.197818	0.117432	-0.00218200000000002	-0.0109100000000001	0.0204720537577069	0.0132472825213974
"140"	0.2	0.1	200	20	1	2	1	0.38	0.196146	0.117107	-0.00385400000000002	-0.0192700000000001	-0.00944310881129468	0.0139916247714555
"176"	0.2	0.1	200	20	2	2	1	0.42	0.20498	0.117326	0.00497999999999998	0.0248999999999999	0.0257075169094063	0.0131088280276276
"212"	0.2	0.1	200	20	3	2	1	0.414	0.201251	0.117597	0.001251	0.00625500000000001	-0.00891738148432139	0.01408059603103
"5"	0.2	0.25	50	10	1	1	0.984	0.139	0.208989	0.251746	0.008989	0.044945	-0.00907926855690107	0.0646235317296086
"41"	0.2	0.25	50	10	2	1	0.965	0.124	0.192521	0.253937	-0.00747900000000001	-0.0373950000000001	-0.04876835725803	0.0713214445090681
"77"	0.2	0.25	50	10	3	1	0.958	0.133	0.194075	0.254003	-0.00592500000000001	-0.0296250000000001	-0.0282396961427363	0.0683569188131882
"113"	0.2	0.25	50	10	1	2	0.944	0.141	0.21003	0.250022	0.01003	0.0501499999999999	-0.033687350834662	0.0670460594585586
"149"	0.2	0.25	50	10	2	2	0.931	0.119	0.196278	0.254823	-0.003722	-0.01861	-0.0113006154714394	0.0664414776243404
"185"	0.2	0.25	50	10	3	2	0.939	0.12	0.202858	0.253971	0.002858	0.01429	0.011997596958961	0.0629891309627988
"23"	0.2	0.25	50	20	1	1	0.997	0.172	0.204598	0.225405	0.00459799999999999	0.02299	-0.0361463408234913	0.054710759618014
"59"	0.2	0.25	50	20	2	1	0.996	0.163	0.197294	0.224388	-0.00270600000000001	-0.0135300000000001	-0.0192399793854044	0.0523521468243884
"95"	0.2	0.25	50	20	3	1	0.995	0.145	0.194501	0.227282	-0.005499	-0.027495	-0.0147304445254881	0.0532435102712703
"131"	0.2	0.25	50	20	1	2	0.999	0.143	0.18694	0.224447	-0.01306	-0.0653000000000001	-0.0177332245657528	0.0523823678042042
"167"	0.2	0.25	50	20	2	2	0.993	0.181	0.214264	0.224642	0.014264	0.07132	-0.0578349978826281	0.057053135673978
"203"	0.2	0.25	50	20	3	2	0.994	0.153	0.197986	0.226243	-0.00201400000000002	-0.0100700000000001	-0.0262923965681185	0.0539915514952993
"11"	0.2	0.25	100	10	1	1	0.996	0.198	0.194343	0.180278	-0.00565700000000002	-0.0282850000000001	0.0291857783528379	0.0307150080063574
"47"	0.2	0.25	100	10	2	1	1	0.211	0.197999	0.179825	-0.002001	-0.010005	-0.033301668738097	0.0346073583543534
"83"	0.2	0.25	100	10	3	1	0.997	0.176	0.191642	0.18135	-0.008358	-0.04179	0.0150789804464884	0.0319878399838198
"119"	0.2	0.25	100	10	1	2	0.998	0.204	0.192778	0.179879	-0.00722200000000001	-0.03611	-0.00216545086693471	0.0325492010437598
"155"	0.2	0.25	100	10	2	2	0.995	0.187	0.19957	0.180917	-0.000430000000000014	-0.00215000000000007	0.051531302324483	0.0296017275426426
"191"	0.2	0.25	100	10	3	2	0.994	0.213	0.201341	0.181646	0.00134099999999998	0.00670499999999991	-0.00189218930013035	0.0331222894912102
"29"	0.2	0.25	100	20	1	1	1	0.251	0.20264	0.16062	0.00263999999999998	0.0131999999999999	-0.00875366523391418	0.0262634224528529
"65"	0.2	0.25	100	20	2	1	1	0.221	0.196932	0.161593	-0.00306800000000002	-0.0153400000000001	-0.0136757832370124	0.0268508454328088
"101"	0.2	0.25	100	20	3	1	1	0.246	0.205439	0.161837	0.005439	0.027195	0.0326793533236215	0.0245893727900691
"137"	0.2	0.25	100	20	1	2	1	0.219	0.191457	0.161111	-0.00854300000000002	-0.0427150000000001	0.0167371080080861	0.0251821922093604
"173"	0.2	0.25	100	20	2	2	1	0.232	0.197886	0.161413	-0.002114	-0.01057	-0.0207600883661071	0.0271750425735776
"209"	0.2	0.25	100	20	3	2	1	0.232	0.193009	0.162455	-0.006991	-0.034955	-0.021615775624148	0.0276195416675866
"17"	0.2	0.25	200	10	1	1	1	0.376	0.209082	0.128154	0.00908199999999998	0.0454099999999999	0.013468627551959	0.0160723078251011
"53"	0.2	0.25	200	10	2	1	1	0.366	0.202802	0.128493	0.002802	0.01401	0.00394827194707359	0.0163886948436396
