"gamma"	"tau"	"n2"	"n1"	"loadings"	"varw"	"ASR"	"Pwr"	"cr"	"secr"	"biascr"	"RBcr"	"RSEBcr"	"MSEcr"
"182"	0.2	0.1	50	10	3	2	0.764	0.117	0.163116404415146	0.214773415414714	-0.0368835955848542	-0.184417977924271	-0.0210602327514431	0.0494940838827419
"20"	0.2	0.1	50	20	1	1	0.938	0.139	0.205494286454317	0.229821836398521	0.0054942864543169	0.0274714322715845	-0.0413857205281434	0.0575072799751069
"56"	0.2	0.1	50	20	2	1	0.94	0.138	0.184132287342541	0.208535007267038	-0.015867712657459	-0.0793385632872948	-0.00577179144445974	0.0442450074066661
"92"	0.2	0.1	50	20	3	1	0.941	0.133	0.156987950998062	0.186003263213121	-0.0430120490019379	-0.21506024500969	-0.00806451467590231	0.0370120933205777
"128"	0.2	0.1	50	20	1	2	0.945	0.133	0.196689365314248	0.230757470523774	-0.0033106346857523	-0.0165531734287615	-0.0204940407562629	0.0555115214775998
"164"	0.2	0.1	50	20	2	2	0.944	0.166	0.188111636281668	0.207979128273928	-0.0118883637183324	-0.059441818591662	-0.0576940528274703	0.0488555408344993
"200"	0.2	0.1	50	20	3	2	0.938	0.135	0.162757221041736	0.187113075274305	-0.0372427789582639	-0.186213894791319	-0.0273885083920579	0.0383979104490159
"8"	0.2	0.1	100	10	1	1	0.909	0.181	0.185837660586461	0.187618477271062	-0.0141623394135387	-0.0708116970676935	-0.00712964662332304	0.0359086213130203
"44"	0.2	0.1	100	10	2	1	0.91	0.186	0.184069491024252	0.169264011899014	-0.0159305089757484	-0.0796525448787418	0.00241887011342674	0.0287659853798673
"80"	0.2	0.1	100	10	3	1	0.89	0.199	0.165232679160508	0.151618057089464	-0.0347673208394921	-0.173836604197461	-0.00114232760526149	0.0242494116977979
"116"	0.2	0.1	100	10	1	2	0.896	0.186	0.198168375444041	0.188659811502113	-0.00183162455595889	-0.00915812277979447	-0.0158133487104469	0.0367488286597644
"152"	0.2	0.1	100	10	2	2	0.898	0.188	0.183319428394023	0.170107866728073	-0.0166805716059773	-0.0834028580298864	0.0256676491015121	0.0277847508651481
"188"	0.2	0.1	100	10	3	2	0.886	0.175	0.159561405818566	0.152313511061487	-0.0404385941814338	-0.202192970907169	0.0267834870783548	0.0236401651151755
"26"	0.2	0.1	100	20	1	1	0.994	0.23	0.201526981142186	0.164509194803225	0.00152698114218619	0.00763490571093095	-0.0217820925327234	0.0282842677068837
"62"	0.2	0.1	100	20	2	1	0.99	0.215	0.176296641119591	0.148336753667751	-0.0237033588804093	-0.118516794402047	-0.0197133305345502	0.0234595221108249
"98"	0.2	0.1	100	20	3	1	0.99	0.198	0.155357975750014	0.132568304144815	-0.0446420242499855	-0.223210121249928	-0.00963920395850276	0.0199110336341076
"134"	0.2	0.1	100	20	1	2	0.987	0.222	0.197556303553527	0.16466808853317	-0.00244369644647333	-0.0122184822323666	0.0287119840658033	0.0256290491459422
"170"	0.2	0.1	100	20	2	2	0.991	0.237	0.182558615247382	0.148329324829746	-0.0174413847526178	-0.0872069237630889	0.0217842760553209	0.0213776503653538
"206"	0.2	0.1	100	20	3	2	0.988	0.223	0.162612074989002	0.133197855785384	-0.0373879250109983	-0.186939625054992	-0.00422579357180466	0.0192904268225172
"14"	0.2	0.1	200	10	1	1	0.979	0.319	0.203314748329198	0.132456775098977	0.00331474832919784	0.0165737416459892	0.0251990719640373	0.0167038934691357
"50"	0.2	0.1	200	10	2	1	0.977	0.354	0.185400198721333	0.119929324692203	-0.0145998012786674	-0.0729990063933368	-0.00864077394894765	0.0148480175276999
"86"	0.2	0.1	200	10	3	1	0.974	0.293	0.158660967518013	0.107206132115906	-0.0413390324819871	-0.206695162409936	0.0279190019054148	0.0125862246051782
"122"	0.2	0.1	200	10	1	2	0.968	0.344	0.199438995447084	0.132731476533131	-0.0005610045529163	-0.0028050227645815	-0.0166054224731306	0.0182179596347005
"158"	0.2	0.1	200	10	2	2	0.972	0.315	0.177466041127704	0.120554573478125	-0.0225339588722959	-0.112669794361479	-0.0157576739636603	0.0155102679563804
"194"	0.2	0.1	200	10	3	2	0.972	0.308	0.157246122820725	0.107640133034485	-0.0427538771792749	-0.213769385896374	0.0166950386725921	0.0130368985045235
"32"	0.2	0.1	200	20	1	1	0.999	0.391	0.194431573559614	0.117325862221483	-0.00556842644038583	-0.0278421322019291	-0.00936846215022502	0.0140579560766638
"68"	0.2	0.1	200	20	2	1	0.997	0.389	0.184171192820725	0.105861377890234	-0.0158288071792747	-0.0791440358963737	0.00646789574009977	0.0113136102315318
"104"	0.2	0.1	200	20	3	1	0.992	0.38	0.158317576586173	0.0939796463461677	-0.0416824234138273	-0.208412117069137	0.0215576322143088	0.010200765959195
"140"	0.2	0.1	200	20	1	2	0.996	0.369	0.19615023842779	0.117330449156717	-0.00384976157221043	-0.0192488078610521	-0.00836094683770366	0.0140143753840887
